7zip	25.01+dfsg-1~deb13u2
libcdio19t64	2.2.0-4.1~deb13u1
libcdio-cdda2t64	10.2+2.0.2-1+b1
libcdio-paranoia2t64	10.2+2.0.2-1+b1
libcdparanoia0	3.10.2+debian-14+b1
libcdparanoia0	3.10.2+debian-14+b1
libcfitsio10t64	4.6.2-2
libchafa0t64	1.14.5-1
libchromaprint1	1.5.1-7
libchromaprint1	1.5.1-7
libcjson1	1.7.18-3.1+deb13u1
libcjson1	1.7.18-3.1+deb13u1
libc-l10n	2.41-12+deb13u4
libclone-perl	0.47-1+b1
libcloudproviders0	0.3.6-2
libcloudproviders0	0.3.6-2
libcodec2-1.2	1.2.0-3
libcodec2-1.2	1.2.0-3
libcolord2	1.4.7-3
libcolord2	1.4.7-3
libcolord-gtk4-1t64	0.3.1-1+b1
libcolorhug2	1.4.7-3
libcom-err2	1.47.2-3+b12
libcom-err2	1.47.2-3+b12
libconfig++11	1.7.3-2
libcpuinfo0	0.0~git20250327.39ea79a-1
libcrack2	2.9.6-5.2+b1
libcrypt1	1:4.4.38-1
libcrypt1	1:4.4.38-1
libcrypt-dev	1:4.4.38-1
libcryptsetup12	2:2.7.5-2
libctf0	2.44-3
libctf-nobfd0	2.44-3
libcuda1	550.163.01-2
libcuda1	550.163.01-2
libcue2	2.2.1-4.1+b2
libcups2t64	2.4.10-3+deb13u2
libcups2t64	2.4.10-3+deb13u2
libcupsfilters1t64	1.28.17-6+deb13u1
libcurl3t64-gnutls	8.14.1-2+deb13u5
libcurl3t64-gnutls	8.14.1-2+deb13u5
libcurl4t64	8.14.1-2+deb13u5
libcurl4t64	8.14.1-2+deb13u5
libdaemon0	0.14-7.1+b3
libdata-dump-perl	1.25-1
libdatrie1	0.2.13-3+b1
libdatrie1	0.2.13-3+b1
libdav1d7	1.5.1-1
libdav1d7	1.5.1-1
libdb5.3t64	5.3.28+dfsg2-9
libdb5.3t64	5.3.28+dfsg2-9
libdbus-1-3	1.16.2-2
libdbus-1-3	1.16.2-2
libdbusmenu-glib4	18.10.20180917~bzr492+repack1-4
libdbusmenu-gtk3-4	18.10.20180917~bzr492+repack1-4
libdc1394-25	2.2.6-5
libdca0	0.0.7-2+b2
libdconf1	0.40.0-5
libde265-0	1.0.15-1+deb13u2
libde265-0	1.0.15-1+deb13u2
libdebconfclient0	0.280
libdecor-0-0	0.2.2-2
libdecor-0-0	0.2.2-2
libdecor-0-plugin-1-gtk	0.2.2-2
libdecor-0-plugin-1-gtk	0.2.2-2
libdeflate0	1.23-2
libdeflate0	1.23-2
libdevmapper1.02.1	2:1.02.205-2
libdisplay-info2	0.2.0-2
libdjvulibre21	3.5.28-2.2
libdjvulibre-text	3.5.28-2.2
libdmapsharing-4.0-3t64	3.9.13-4
